"","chain_1","chain_2","chain_3","chain_4","chain_5","chain_6","chain_7","chain_8","chain_9"
"approximateESS",11.295472352755,291.256732746572,1000.00000000011,9.61766763137465,489.274796179014,999.999999999888,11.1675201492921,217.947770779895,1000.00000000011
"CMDSESS",10.1992513500712,272.084960001314,1000,3.56308587602567,444.150809373828,1000,6.31001371727527,190.654956555003,1196.19640228883
"fixedN",1000,1000,1000,1000,1000,1000,1000,1000,1000
"foldedRankMedioidESS",18.1366307676778,292.960221676879,1000,7.0700327621385,619.599919699549,1000,11.3835737411562,277.893700887165,1000
"frechetCorrelationESS",11.4238983779085,321.392942435104,919.158885046447,6.99773616983169,490.464298901473,951.181957224353,7.77745611680256,176.417073538763,1032.67889303174
"jumpDistanceBootstrapESS",18.8679245283019,200,1000,24.390243902439,1,1000,10.752688172043,333.333333333333,1000
"jumpDistanceBootstrapUnsmoothedESS",6.71140939597315,8.40336134453782,2.03252032520325,3.03951367781155,1,1000,4.23728813559322,33.3333333333333,17.8571428571429
"medianPseudoESS",12.9536705158957,281.608104556919,1000,4.4426427612188,615.812393309691,1000,7.22519383859659,311.961803252827,1000
"minPseudoESS",8.30748496840329,241.327361389335,729.463864139447,3.48822412488629,454.107938344445,811.741087806049,4.24887846667098,73.7576930456678,477.601900061263
"splitFrequencyESS",26.6171433844779,1049.40444480029,1131.95975594091,21.6844027994658,688.580296056533,910.779158583988,23.0520214138399,274.89044932062,1001.62597537276
"totalDistanceESS",11.2515744339183,477.816218314815,1000,5.49534156477226,627.615162666926,1000,15.8160846542236,365.77265258124,928.603858938944
